,distribution,params,step_size,modes_covered,ess,sliced_TV,emd
0,const,,0.1,1.0,0.01,0.503,40.21
1,const,,0.1,1.0,0.006,0.502,39.49
2,const,,0.2,1.0,0.008,0.515,40.3
3,const,,0.3,1.0,0.006,0.511,39.8
4,const,,0.4,1.0,0.008,0.495,40.16
5,const,,0.5,1.0,0.012,0.498,39.58
6,const,,0.6,1.0,0.006,0.49,39.36
7,const,,0.7,1.0,0.029,0.495,39.28
8,const,,0.7999999999999999,1.0,0.013,0.471,39.41
9,const,,0.8999999999999999,1.0,-0.03,0.48,39.22
10,const,,0.9999999999999999,1.0,0.009,0.46,39.14
11,const,,1.0999999999999999,1.0,0.022,0.466,38.55
12,const,,1.2,1.0,0.043,0.451,38.57
13,const,,1.3,1.0,-0.075,0.443,38.53
14,const,,1.4,1.0,0.01,0.428,38.11
15,const,,1.5,1.0,0.031,0.395,37.48
16,const,,1.5999999999999999,1.04,0.001,0.383,36.95
17,const,,1.7,1.24,0.002,0.348,35.88
18,const,,1.8,2.28,0.001,0.236,30.12
19,const,,1.9,0.08,0.008,0.202,25.76
20,const,,2.0,0.0,-0.589,0.332,90.84
21,Beta,"a: 1.0, b: 1.0",0.6,1.0,-0.057,0.488,39.13
22,Beta,"a: 1.0, b: 1.0",0.8,1.0,-0.351,0.471,38.43
23,Beta,"a: 1.0, b: 1.0",1.0,1.04,0.003,0.424,38.14
24,Beta,"a: 1.0, b: 1.0",1.2000000000000002,3.4,0.001,0.272,27.85
25,Beta,"a: 1.0, b: 1.0",1.4,10.32,0.012,0.175,22.9
26,Beta,"a: 1.0, b: 1.0",1.6,12.6,0.031,0.218,54.81
27,Beta,"a: 1.0, b: 3.0",0.6,1.02,0.001,0.474,38.88
28,Beta,"a: 1.0, b: 3.0",0.8,1.52,0.001,0.447,38.72
29,Beta,"a: 1.0, b: 3.0",1.0,4.54,0.002,0.253,26.92
30,Beta,"a: 1.0, b: 3.0",1.2000000000000002,10.08,0.012,0.147,16.52
31,Beta,"a: 1.0, b: 3.0",1.4,12.42,0.49,0.19,40.54
32,Beta,"a: 1.0, b: 3.0",1.6,13.08,1.281,0.306,1487.27
33,Beta,"a: 1.0, b: 5.0",0.6,1.04,0.004,0.471,39.2
34,Beta,"a: 1.0, b: 5.0",0.8,2.62,0.002,0.406,36.67
35,Beta,"a: 1.0, b: 5.0",1.0,5.78,0.003,0.206,26.88
36,Beta,"a: 1.0, b: 5.0",1.2000000000000002,10.26,0.019,0.173,33.11
37,Beta,"a: 1.0, b: 5.0",1.4,13.04,1.093,0.237,191.17
38,Beta,"a: 1.0, b: 5.0",1.6,13.14,1.176,0.316,32060.64
39,Beta,"a: 1.0, b: 7.0",0.6,1.04,0.001,0.464,38.32
40,Beta,"a: 1.0, b: 7.0",0.8,3.16,0.001,0.325,32.52
41,Beta,"a: 1.0, b: 7.0",1.0,7.34,0.005,0.213,24.13
42,Beta,"a: 1.0, b: 7.0",1.2000000000000002,11.08,0.014,0.167,23.83
43,Beta,"a: 1.0, b: 7.0",1.4,12.88,0.952,0.21,75.31
44,Beta,"a: 1.0, b: 7.0",1.6,13.18,1.992,0.382,12556.18
45,Beta,"a: 1.0, b: 9.0",0.6,1.28,0.001,0.439,37.69
46,Beta,"a: 1.0, b: 9.0",0.8,3.22,0.001,0.344,34.83
47,Beta,"a: 1.0, b: 9.0",1.0,7.14,0.005,0.174,20.59
48,Beta,"a: 1.0, b: 9.0",1.2000000000000002,11.46,0.019,0.15,18.73
49,Beta,"a: 1.0, b: 9.0",1.4,12.72,2.402,0.285,670.57
50,Beta,"a: 1.0, b: 9.0",1.6,13.32,0.856,0.487,4466831.34
51,Beta,"a: 2.0, b: 1.0",0.6,1.0,0.015,0.484,39.17
52,Beta,"a: 2.0, b: 1.0",0.8,1.0,-0.027,0.457,38.89
53,Beta,"a: 2.0, b: 1.0",1.0,1.0,0.01,0.456,38.55
54,Beta,"a: 2.0, b: 1.0",1.2000000000000002,1.0,-0.022,0.432,38.12
55,Beta,"a: 2.0, b: 1.0",1.4,1.86,0.001,0.338,33.83
56,Beta,"a: 2.0, b: 1.0",1.6,7.28,0.006,0.161,18.81
57,Beta,"a: 2.0, b: 3.0",0.6,1.0,0.009,0.469,39.23
58,Beta,"a: 2.0, b: 3.0",0.8,1.0,0.011,0.47,38.49
59,Beta,"a: 2.0, b: 3.0",1.0,1.06,0.001,0.454,38.3
60,Beta,"a: 2.0, b: 3.0",1.2000000000000002,2.54,0.001,0.34,32.91
61,Beta,"a: 2.0, b: 3.0",1.4,7.24,0.004,0.209,25.79
62,Beta,"a: 2.0, b: 3.0",1.6,11.58,0.019,0.179,29.18
63,Beta,"a: 2.0, b: 5.0",0.6,1.0,0.009,0.467,38.92
64,Beta,"a: 2.0, b: 5.0",0.8,1.0,0.008,0.455,38.46
65,Beta,"a: 2.0, b: 5.0",1.0,1.4,0.001,0.365,35.11
66,Beta,"a: 2.0, b: 5.0",1.2000000000000002,3.98,0.002,0.28,29.66
67,Beta,"a: 2.0, b: 5.0",1.4,8.86,0.006,0.172,25.5
68,Beta,"a: 2.0, b: 5.0",1.6,12.34,0.381,0.234,452.99
69,Beta,"a: 2.0, b: 7.0",0.6,1.0,-0.012,0.468,39.15
70,Beta,"a: 2.0, b: 7.0",0.8,1.12,0.002,0.454,38.7
71,Beta,"a: 2.0, b: 7.0",1.0,1.78,0.001,0.384,34.77
72,Beta,"a: 2.0, b: 7.0",1.2000000000000002,5.0,0.002,0.219,23.69
73,Beta,"a: 2.0, b: 7.0",1.4,10.14,0.02,0.161,19.86
74,Beta,"a: 2.0, b: 7.0",1.6,12.42,-0.523,0.165,22.85
75,Beta,"a: 2.0, b: 9.0",0.6,1.0,0.013,0.487,39.06
76,Beta,"a: 2.0, b: 9.0",0.8,1.18,0.001,0.461,39.13
77,Beta,"a: 2.0, b: 9.0",1.0,2.28,0.001,0.402,37.1
78,Beta,"a: 2.0, b: 9.0",1.2000000000000002,5.76,0.003,0.203,23.69
79,Beta,"a: 2.0, b: 9.0",1.4,10.32,0.012,0.158,18.17
80,Beta,"a: 2.0, b: 9.0",1.6,12.72,0.223,0.202,53.8
81,Beta,"a: 3.0, b: 1.0",0.6,1.0,0.009,0.494,39.44
82,Beta,"a: 3.0, b: 1.0",0.8,1.0,-0.051,0.473,39.03
83,Beta,"a: 3.0, b: 1.0",1.0,1.0,0.01,0.47,38.85
84,Beta,"a: 3.0, b: 1.0",1.2000000000000002,1.0,0.016,0.439,38.48
85,Beta,"a: 3.0, b: 1.0",1.4,1.06,0.0,0.434,38.17
86,Beta,"a: 3.0, b: 1.0",1.6,3.7,0.002,0.211,25.66
87,Beta,"a: 3.0, b: 3.0",0.6,1.0,0.038,0.482,39.3
88,Beta,"a: 3.0, b: 3.0",0.8,1.0,0.011,0.458,39.22
89,Beta,"a: 3.0, b: 3.0",1.0,1.0,-0.025,0.46,38.53
90,Beta,"a: 3.0, b: 3.0",1.2000000000000002,1.36,0.001,0.439,38.2
91,Beta,"a: 3.0, b: 3.0",1.4,3.1,0.001,0.3,31.69
92,Beta,"a: 3.0, b: 3.0",1.6,8.82,0.007,0.145,15.53
93,Beta,"a: 3.0, b: 5.0",0.6,1.0,0.01,0.497,39.56
94,Beta,"a: 3.0, b: 5.0",0.8,1.0,0.012,0.488,39.35
95,Beta,"a: 3.0, b: 5.0",1.0,1.02,0.003,0.461,38.4
96,Beta,"a: 3.0, b: 5.0",1.2000000000000002,1.78,0.001,0.39,37.08
97,Beta,"a: 3.0, b: 5.0",1.4,4.9,0.002,0.21,24.4
98,Beta,"a: 3.0, b: 5.0",1.6,10.34,0.013,0.153,16.38
99,Beta,"a: 3.0, b: 7.0",0.6,1.0,0.007,0.494,38.8
100,Beta,"a: 3.0, b: 7.0",0.8,1.02,0.008,0.466,38.88
101,Beta,"a: 3.0, b: 7.0",1.0,1.12,0.001,0.452,38.01
102,Beta,"a: 3.0, b: 7.0",1.2000000000000002,2.32,0.001,0.357,33.38
103,Beta,"a: 3.0, b: 7.0",1.4,6.28,0.003,0.198,23.05
104,Beta,"a: 3.0, b: 7.0",1.6,11.1,0.02,0.169,21.84
105,Beta,"a: 3.0, b: 9.0",0.6,1.0,0.135,0.493,38.93
106,Beta,"a: 3.0, b: 9.0",0.8,1.02,0.002,0.483,39.05
107,Beta,"a: 3.0, b: 9.0",1.0,1.14,0.001,0.427,37.47
